Source IP,Destination IP,Protocol,Length,Port
13.89.178.26,192.168.0.53,TCP,54,443
13.89.178.26,192.168.0.53,TCP,54,443
13.89.178.26,192.168.0.53,TCP,148,443
192.168.0.53,13.89.178.26,TCP,89,56738
13.89.178.26,192.168.0.53,TCP,54,443
192.168.0.53,52.123.226.83,TCP,54,59269
52.123.226.83,192.168.0.53,TCP,54,443
192.168.0.53,52.123.226.83,TCP,54,59269
192.168.0.53,183.82.243.66,TCP,90,55363
192.168.0.53,183.82.243.66,TCP,90,51913
192.168.0.53,183.82.243.66,TCP,90,64372
192.168.0.53,239.255.255.250,UDP,143,57117
192.168.0.1,192.168.0.53,UDP,381,1900
20.195.65.193,192.168.0.53,TCP,81,443
192.168.0.53,20.195.65.193,TCP,54,55024
192.168.0.53,142.251.43.46,UDP,71,64830
142.251.43.46,192.168.0.53,UDP,68,443
192.168.0.53,142.251.221.163,UDP,1292,50136
192.168.0.53,142.251.221.163,UDP,1292,50136
192.168.0.53,142.251.221.163,UDP,120,50136
192.168.0.53,142.251.221.163,UDP,731,50136
142.251.221.163,192.168.0.53,UDP,82,443
142.251.221.163,192.168.0.53,UDP,1292,443
142.251.221.163,192.168.0.53,UDP,1292,443
142.251.221.163,192.168.0.53,UDP,332,443
142.251.221.163,192.168.0.53,UDP,986,443
