Source IP,Destination IP,Protocol,Length,Anomaly,Port
10.17.24.90,8.8.8.8,UDP,1292,1,
10.17.24.90,8.8.8.8,UDP,1292,1,
10.17.24.90,8.8.8.8,TCP,262,1,
10.17.24.90,8.8.8.8,TCP,256,1,
10.17.27.241,10.17.24.90,UDP,86,1,
8.8.8.8,10.17.24.90,TCP,66,1,
8.8.8.8,10.17.24.90,TCP,66,1,
8.8.8.8,10.17.24.90,UDP,82,1,
8.8.8.8,10.17.24.90,UDP,1292,1,
8.8.8.8,10.17.24.90,UDP,1292,1,
8.8.8.8,10.17.24.90,UDP,1292,1,
10.17.24.90,8.8.8.8,UDP,1292,1,
8.8.8.8,10.17.24.90,TCP,172,1,
8.8.8.8,10.17.24.90,TCP,565,1,
10.17.24.90,8.8.8.8,TCP,66,1,
10.17.24.90,8.8.8.8,TCP,101,1,
8.8.8.8,10.17.24.90,TCP,97,1,
8.8.8.8,10.17.24.90,TCP,105,1,
10.17.24.90,8.8.8.8,TCP,66,1,
10.17.24.90,8.8.8.8,TCP,105,1,
8.8.8.8,10.17.24.90,UDP,1292,1,
8.8.8.8,10.17.24.90,UDP,1214,1,
10.17.24.90,8.8.8.8,UDP,81,1,
10.17.24.90,8.8.8.8,UDP,198,1,
8.8.8.8,10.17.24.90,TCP,150,1,
8.8.8.8,10.17.24.90,TCP,565,1,
10.17.24.90,8.8.8.8,TCP,66,1,
8.8.8.8,10.17.24.90,TCP,97,1,
10.17.27.77,10.17.24.90,UDP,86,1,
10.17.24.90,8.8.8.8,TCP,66,1,
10.17.24.90,104.18.31.173,TCP,78,1,
8.8.8.8,10.17.24.90,TCP,66,1,
10.17.24.90,224.0.0.251,UDP,198,1,
104.18.31.173,10.17.24.90,TCP,74,1,
10.17.24.90,104.18.31.173,TCP,66,1,
10.17.24.90,104.18.31.173,TCP,1304,1,
10.17.24.90,104.18.31.173,TCP,575,-1,
8.8.8.8,10.17.24.90,UDP,977,1,
8.8.8.8,10.17.24.90,UDP,163,1,
10.17.26.56,10.17.24.90,UDP,86,1,
10.17.24.90,8.8.8.8,UDP,73,1,
8.8.8.8,10.17.24.90,UDP,66,1,
104.18.31.173,10.17.24.90,TCP,1304,1,
104.18.31.173,10.17.24.90,TCP,999,1,
104.18.31.173,10.17.24.90,TCP,1304,1,
10.17.24.90,104.18.31.173,TCP,78,1,
10.17.24.90,104.18.31.173,TCP,66,1,
10.17.24.90,104.18.31.173,TCP,66,1,
192.168.1.100,10.0.0.5,ATTACK,1007,1,
192.168.1.100,10.0.0.5,ATTACK,1608,-1,
192.168.1.100,10.0.0.5,ATTACK,1214,1,
192.168.1.100,10.0.0.5,ATTACK,1408,-1,
192.168.1.100,10.0.0.5,ATTACK,1344,1,
10.17.24.90,10.17.26.13,UDP,420,1,
10.17.28.234,10.17.24.90,UDP,86,1,
10.17.24.90,142.251.221.174,TCP,78,1,
10.17.24.90,10.17.28.234,UDP,420,1,
142.251.221.174,10.17.24.90,TCP,74,1,
10.17.24.90,142.251.221.174,TCP,66,1,
